MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
Pricing,Pricing/ Price Pack Architecture; Pricing Adj,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Demand adjustment for the elasticity impact of pricing and price-pack architecture changes on the volume forecast.,Pricing Adj for price elasticity demand impact
Economics,Economics Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for macroeconomic and microeconomic conditions affecting consumer purchasing power and category demand.,Economics Adj for macroeconomic demand impact
Seasonality factors,Seasonality factors / holidays; Seasonality Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Adjustment for seasonal demand patterns and holiday effects not captured by the statistical model, applied as a manual override.",Seasonality Adj for manual seasonal pattern adjustment
Seasonality factors,Seasonality factors / holidays; Seasonality Adj,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Adjustment for seasonal demand patterns and holiday effects not captured by the statistical model, applied as a manual override.",Seasonality Adj for manual seasonal pattern adjustment
Social media,Social media Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand adjustment capturing viral trends, social media buzz, or sentiment shifts impacting consumer demand in the short to mid term.",Social media Adj for social media demand impact
Routes,Routes Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for changes in route-to-market or distribution channel structure affecting product availability and sales reach.,Routes Adj for route-to-market change demand impact
Media Campaigns,Advertising/ Media Campaigns; A&M Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Manual adjustment for the anticipated demand uplift from specific advertising and media campaign activities.,A&M Adj for media campaign demand uplift adjustment
MacroEconomic Factors,"Macro-Economic Factors (political, economic, environmental, social, weather, pandemics); MacroEconomic Adj",Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand adjustment for broad macro-economic factors including political, environmental, social, and pandemic-driven demand disruptions.",MacroEconomic Adj for macro-level demand disruption
MacroEconomic Factors,"Macro-Economic Factors (political, economic, environmental, social, weather, pandemics); MacroEconomic Adj",Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Demand adjustment for broad macro-economic factors including political, environmental, social, and pandemic-driven demand disruptions.",MacroEconomic Adj for macro-level demand disruption
Google Mobility Driver,Mobility Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver leveraging Google Mobility data to quantify the demand impact of consumer movement and activity patterns.,Mobility Driver ST using Google mobility data for demand
Pricing Driver,Pricing; Pricing Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver quantifying the volume demand elasticity response to price changes or price-pack architecture adjustments.,Pricing Driver ST for price elasticity demand modeling
Merchandising,Merchandising Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand adjustment for changes in in-store merchandising quality, shelf space, planogram compliance, or display activities.",Merchandising Adj for in-store merchandising demand impact
Trade Activations,Trade Activations Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand adjustment capturing incremental volume from trade activation programs including in-store events, sampling, and trade-driven initiatives.",Trade Activations Adj for trade program demand impact
New Customers,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,Demand adjustment for incremental volume from newly acquired customers or new market entries not reflected in the historical baseline.,New Customers adjustment for incremental demand from new accounts
New Customers,,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",MEDIUM,Demand adjustment for incremental volume from newly acquired customers or new market entries not reflected in the historical baseline.,New Customers adjustment for incremental demand from new accounts
Competitor Activities,Competitor Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand adjustment for competitive dynamics including competitor promotions, launches, or exits that influence category demand.",Competitor Adj for competitive dynamics demand impact
Trade Partners,Changes in Distribution / Trade Partners; Trade Partners Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand adjustment for changes in trade partner relationships, including distribution expansions, losses, or shifts in customer ordering behavior.",Trade Partners Adj for distribution change demand impact
Trade Partners,Changes in Distribution / Trade Partners; Trade Partners Adj,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Demand adjustment for changes in trade partner relationships, including distribution expansions, losses, or shifts in customer ordering behavior.",Trade Partners Adj for distribution change demand impact
NPD Driver,NPD; NPD Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver capturing incremental demand from new product development launches and introductions in the near-term horizon.,NPD Driver ST for new product launch demand modeling
NPD Driver,NPD; NPD Driver ST,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Short-term driver capturing incremental demand from new product development launches and introductions in the near-term horizon.,NPD Driver ST for new product launch demand modeling
Product Mix,Product Mix Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for shifts in product mix within a portfolio that affect aggregate volume and revenue at higher hierarchy levels.,Product Mix Adj for portfolio mix shift demand impact
Product Mix,Product Mix Adj,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Demand adjustment for shifts in product mix within a portfolio that affect aggregate volume and revenue at higher hierarchy levels.,Product Mix Adj for portfolio mix shift demand impact
Weather,Weather Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Manual weather-related demand adjustment applied by planners when weather-driven demand impacts are not captured by the weather driver model.,Weather Adj for manual weather-driven demand correction
Stocks,Stocks; Stocks Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for inventory stock positions at customer or trade level that artificially inflate or deflate short-term ordering patterns.,Stocks Adj for customer stock position demand correction
Tourism,Tourism Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for tourism-driven demand fluctuations in markets or channels significantly influenced by tourism activity levels.,Tourism Adj for tourism-driven demand fluctuation
VMI,VMI Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for Vendor Managed Inventory program effects on ordering patterns and demand signal visibility.,VMI Adj for vendor managed inventory demand impact
VMI,VMI Adj,Supply Planning,Supply Commitment Management,Tracks and manages supplier and internal supply commitments against demand requirements to ensure promise fulfillment.,HIGH,Demand adjustment for Vendor Managed Inventory program effects on ordering patterns and demand signal visibility.,VMI Adj for vendor managed inventory demand impact
Feet on the Ground,Feet on the Ground Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Field-intelligence-driven demand adjustment based on insights from the sales force or field representatives about market conditions.,Feet on the Ground Adj for field intelligence demand signal
Incentives,Incentives Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for the pull-forward or demand uplift effects of customer or trade incentive programs.,Incentives Adj for customer incentive program demand impact
Inventory Driver,Inventory; Inventory Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver capturing the demand signal distortion or acceleration caused by customer inventory build or depletion patterns.,Inventory Driver ST for customer inventory effect on demand
Covid,Covid Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Manual demand adjustment for residual COVID-19-related impacts on consumer behavior, channel disruptions, or supply chain effects.",Covid Adj for COVID-driven demand disruption adjustment
Covid Driver,Covid; Covid Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term driver modeling the quantified demand impact of COVID-related factors (lockdowns, behavioral shifts) in the forecast.",Covid Driver ST for COVID-driven demand modeling
Customer orders,Customer orders Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment based on confirmed customer order signals that deviate from the statistical forecast in the short-term horizon.,Customer orders Adj for order-signal demand correction
Loyalty,Loyalty Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment capturing the demand impact of customer loyalty program dynamics on purchasing frequency and volume.,Loyalty Adj for loyalty program demand impact
Category trend,Category trend Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for broader category-level growth or decline trends that influence the product's demand trajectory.,Category trend Adj for category-level demand trajectory
Cannibalization Driver,Cannibalization; Cannibalization Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver quantifying the volume cannibalization or halo effect between products in the near-term planning horizon.,Cannibalization Driver ST for inter-product demand transfer
Cannibalization Driver,Cannibalization; Cannibalization Driver ST,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Short-term driver quantifying the volume cannibalization or halo effect between products in the near-term planning horizon.,Cannibalization Driver ST for inter-product demand transfer
Customer Segmentation,Customer Segmentation Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand adjustment based on customer segmentation insights, reflecting differentiated demand behavior across customer tiers or types.",Customer Segmentation Adj for segment-driven demand adjustment
Customer Segmentation,Customer Segmentation Adj,Demand Planning,Demand Segmentation & Classification,"Classifies products, customers, and demand streams using ABC/XYZ and other frameworks for differentiated planning treatment.",HIGH,"Demand adjustment based on customer segmentation insights, reflecting differentiated demand behavior across customer tiers or types.",Customer Segmentation Adj for segment-driven demand adjustment
RO Item Variable Contribution,Variable Contribution,Demand Planning,Revenue & Volume Outlook Item Tracking,"Tracks revenue and volume outlook items including initiatives, variable contributions, and governance dates for pipeline management.",HIGH,"Variable contribution (gross margin less variable costs) associated with a Risk & Opportunity outlook item, supporting financial prioritization.",Variable Contribution of R&O item for financial prioritization
RO Item Variable Contribution,Variable Contribution,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Variable contribution (gross margin less variable costs) associated with a Risk & Opportunity outlook item, supporting financial prioritization.",Variable Contribution of R&O item for financial prioritization
RO Item Start Date,Start Date,Demand Planning,Revenue & Volume Outlook Item Tracking,"Tracks revenue and volume outlook items including initiatives, variable contributions, and governance dates for pipeline management.",HIGH,Start date of a Risk & Opportunity outlook item defining when the initiative demand impact begins in the planning timeline.,R&O Item Start Date for initiative timeline governance
RO Item End Date,End Date,Demand Planning,Revenue & Volume Outlook Item Tracking,"Tracks revenue and volume outlook items including initiatives, variable contributions, and governance dates for pipeline management.",HIGH,End date of a Risk & Opportunity outlook item defining when the initiative demand impact concludes in the planning timeline.,R&O Item End Date for initiative timeline governance
Advertising,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,Demand adjustment for the volume uplift generated by advertising spend and campaigns not captured by the driver-based model.,Advertising adjustment for ad-spend demand uplift
E Commerce,E Commerce Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Demand adjustment for the incremental or shifted demand from e-commerce channel growth and digital commerce dynamics.,E Commerce Adj for digital channel demand shift
Innovation - Cannibalization,,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",MEDIUM,Tracks the cannibalization demand impact specifically attributable to innovation launches on the existing portfolio.,Innovation-Cannibalization for NPI-driven demand transfer
Market Evolution/Shopper Behavior/ Ingredient preference,Market Trend Adj,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Demand adjustment for structural market evolution including changing shopper behavior, health trends, and ingredient preference shifts.",Market Trend Adj for shopper behavior and market evolution
Fcst NR,Adjusted Forecast NR,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Net revenue version of the consensus forecast translating adjusted volume into financial revenue for commercial and financial planning.,Fcst NR as net revenue version of adjusted forecast
Fcst NR,Adjusted Forecast NR,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Net revenue version of the consensus forecast translating adjusted volume into financial revenue for commercial and financial planning.,Fcst NR as net revenue version of adjusted forecast
Macroeconomics Driver,Macroeconomic Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term driver quantifying the near-term demand impact of macroeconomic indicators such as GDP, inflation, or consumer confidence.",Macroeconomic Driver ST for macro-driven demand modeling
Demographics Driver LT,Demographics Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Long/mid-term driver capturing structural demand changes driven by demographic trends such as population growth, age distribution, and urbanization.",Demographics Driver MT for demographic-driven demand planning
Demographics Driver,Demographics Driver ST,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term driver reflecting near-term demographic influences on demand including seasonal population shifts and age-cohort purchasing patterns.,Demographics Driver ST for demographic demand modeling
NPD Driver LT,NPD Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver capturing the sustained demand from new product development pipeline launches over the strategic horizon.,NPD Driver MT for long-term new product demand modeling
NPD Driver LT,NPD Driver MT,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Long/mid-term driver capturing the sustained demand from new product development pipeline launches over the strategic horizon.,NPD Driver MT for long-term new product demand modeling
Pricing Driver LT,Pricing Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver quantifying the sustained volume demand elasticity from strategic pricing decisions over the planning horizon.,Pricing Driver MT for long-term price elasticity modeling
Google Mobility Driver LT,Mobility Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver using mobility trend data to forecast sustained consumer movement pattern impacts on demand.,Mobility Driver MT for long-term mobility-driven demand
Covid Driver LT,Covid Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver modeling the persistent demand impact of COVID-related behavioral and structural market changes.,Covid Driver MT for long-term COVID-driven demand modeling
Inventory Driver LT,Inventory Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver capturing the sustained effect of supply chain inventory dynamics and trade stocking behavior on demand.,Inventory Driver MT for long-term inventory effect on demand
Macroeconomics Driver LT,Macroeconomics Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Long/mid-term driver quantifying sustained macroeconomic trend impacts (GDP, inflation, consumer confidence) on strategic demand.",Macroeconomics Driver MT for long-term macro demand modeling
Cannibalization Driver LT,Cannibalization Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,Long/mid-term driver modeling sustained cannibalization effects from portfolio evolution on demand over the strategic horizon.,Cannibalization Driver MT for long-term cannibalization impact
Cannibalization Driver LT,Cannibalization Driver MT,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,Long/mid-term driver modeling sustained cannibalization effects from portfolio evolution on demand over the strategic horizon.,Cannibalization Driver MT for long-term cannibalization impact
Comments,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Free-text annotation field allowing planners to document rationale, exceptions, or observations associated with forecast adjustments.",Comments field for planner rationale and forecast annotation
Comments,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",HIGH,"Free-text annotation field allowing planners to document rationale, exceptions, or observations associated with forecast adjustments.",Comments field for planner rationale and forecast annotation
DFU at 320 Level,,Demand Planning,Demand Segmentation & Classification,"Classifies products, customers, and demand streams using ABC/XYZ and other frameworks for differentiated planning treatment.",MEDIUM,"Demand Forecast Unit identified at the 320 product hierarchy aggregation level, enabling mid-level granularity planning and review.",DFU at 320 Level for mid-hierarchy demand planning
Review Date,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",HIGH,"Date on which a forecast or plan was last reviewed in the consensus planning process, supporting governance and audit trail.",Review Date for forecast governance and audit trail
Review Date,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Date on which a forecast or plan was last reviewed in the consensus planning process, supporting governance and audit trail.",Review Date for forecast governance and audit trail
Best Estimate at DFU,Best Estimate,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,The current best estimate of demand at the DFU level representing the most accurate combined view of all forecast inputs and adjustments.,Best Estimate at DFU as consensus demand view for S&OP
Best Estimate at DFU,Best Estimate,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",HIGH,The current best estimate of demand at the DFU level representing the most accurate combined view of all forecast inputs and adjustments.,Best Estimate at DFU as consensus demand view for S&OP
W Demand Quantity,Total Demand,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Total weekly demand quantity from all demand sources at the planning node, used as the primary supply plan input for fulfillment.",W Demand Quantity (Total Demand) for weekly supply planning
Previous Forecast at DFU,PXF Forecast,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"The forecast value from the prior planning cycle at the DFU level, enabling cycle-over-cycle forecast change analysis.",PXF Forecast for cycle-over-cycle forecast comparison
Previous Forecast at DFU,PXF Forecast,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"The forecast value from the prior planning cycle at the DFU level, enabling cycle-over-cycle forecast change analysis.",PXF Forecast for cycle-over-cycle forecast comparison
W Total Met On Time Quantity,Met Demand,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Total weekly quantity of demand fulfilled on time, measuring the supply plan's on-time delivery performance.",W Total Met On Time Quantity for on-time fulfillment tracking
D Demand Quantity,Demand Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily demand quantity at the planning node, providing granular demand signal for short-term supply execution.",D Demand Quantity for daily supply execution planning
Evaluation Period To Date,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",HIGH,End date of the evaluation period used to define the measurement window for forecast accuracy and supply performance metrics.,Evaluation Period To Date for performance measurement window
Evaluation Period To Date,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,End date of the evaluation period used to define the measurement window for forecast accuracy and supply performance metrics.,Evaluation Period To Date for performance measurement window
Evaluation Period From Date,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",HIGH,Start date of the evaluation period used to define the measurement window for forecast accuracy and supply performance metrics.,Evaluation Period From Date for performance measurement window
Evaluation Period From Date,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,Start date of the evaluation period used to define the measurement window for forecast accuracy and supply performance metrics.,Evaluation Period From Date for performance measurement window
Interdependent Association,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",MEDIUM,"Defines interdependencies between planning entities (DFUs, nodes, orders) to ensure cascaded constraint and demand propagation.",Interdependent Association for planning entity dependency mapping
Actuals LY at DFU,Actuals LY,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,"Last year's actual demand at the DFU level, used as the primary reference for year-over-year performance comparison.",Actuals LY at DFU for year-over-year DFU performance
Actuals LY at DFU,Actuals LY,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Last year's actual demand at the DFU level, used as the primary reference for year-over-year performance comparison.",Actuals LY at DFU for year-over-year DFU performance
W Demand Fill Rate,Demand Fill Rate,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Weekly ratio of demand met on time to total demand, measuring the supply chain's customer service level performance.",W Demand Fill Rate for weekly customer service level
o9 Solution Coverage,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",MEDIUM,Indicator of the o9 platform's functional coverage across the supply chain planning scope for a given client deployment.,o9 Solution Coverage for platform deployment scope tracking
Client Name,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",HIGH,"Identifier for the client or business unit for which the planning solution is configured, supporting multi-tenant administration.",Client Name for multi-tenant solution administration
D Total Met On Time Quantity,Total Met On Time Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily total quantity of demand fulfilled on time, providing granular daily supply execution performance visibility.",D Total Met On Time Quantity for daily fulfillment performance
W Total Short Quantity,Unmet Demand,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Total weekly quantity of demand that could not be fulfilled due to supply constraints, indicating unmet demand exposure.",W Total Short Quantity (Unmet Demand) for supply gap analysis
W Total Short Quantity,Unmet Demand,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Total weekly quantity of demand that could not be fulfilled due to supply constraints, indicating unmet demand exposure.",W Total Short Quantity (Unmet Demand) for supply gap analysis
W Total Late Quantity,Met Demand Late,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Total weekly quantity fulfilled but delivered late, measuring supply plan adherence and on-time delivery reliability.",W Total Late Quantity for late delivery performance tracking
D Total Short Quantity,Total Short Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily total quantity of demand not met due to supply shortfalls, enabling granular constraint and shortage analysis.",D Total Short Quantity for daily demand shortfall analysis
D Total Short Quantity,Total Short Quantity,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily total quantity of demand not met due to supply shortfalls, enabling granular constraint and shortage analysis.",D Total Short Quantity for daily demand shortfall analysis
Short Term Driver Based Forecast NR,Short Term Driver Based Fcst NR,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Net revenue equivalent of the short-term driver-based forecast, translating driver-based volume into financial revenue for commercial planning.",ST Driver Based Fcst NR for short-term revenue planning
Short Term Driver Based Forecast NR,Short Term Driver Based Fcst NR,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net revenue equivalent of the short-term driver-based forecast, translating driver-based volume into financial revenue for commercial planning.",ST Driver Based Fcst NR for short-term revenue planning
